Acacia Villas,26.65,-80.11,
Alachua city,29.78,-82.48,
Alafaya,28.52,-81.18,
Alford town,30.7,-85.39,
Allentown,30.77,-87.08,
Altamonte Springs city,28.66,-81.39,
Altha town,30.57,-85.13,
Altoona,28.97,-81.65,
Alturas,27.84,-81.7,
Alva,26.72,-81.63,
Andrews,29.55,-82.89,
Anna Maria city,27.53,-82.73,
Apalachicola city,29.73,-84.99,
Apollo Beach,27.76,-82.4,
Apopka city,28.7,-81.53,
Arcadia city,27.22,-81.86,
Archer city,29.54,-82.51,
Aripeka,28.43,-82.67,
Asbury Lake,30.05,-81.79,
Astatula town,28.71,-81.73,
Astor,29.16,-81.54,
Atlantic Beach city,30.34,-81.38,
Atlantis city,26.6,-80.1,
Auburndale city,28.1,-81.8,
Aucilla,30.48,-83.76,
Avalon,30.54,-87.1,
Aventura city,25.96,-80.14,
Avon Park city,27.6,-81.51,
Azalea Park,28.55,-81.3,
Babson Park,27.83,-81.53,
Bagdad,30.58,-87.04,
Bal Harbour village,25.89,-80.12,
Baldwin town,30.31,-81.97,
Balm,27.75,-82.29,
Bardmoor,27.86,-82.75,
Bartow city,27.89,-81.82,
Bascom town,30.93,-85.12,
Bay Harbor Islands town,25.89,-80.13,
Bay Hill,28.46,-81.51,
Bay Lake city,28.39,-81.58,
Bay Pines,27.81,-82.77,
Bayonet Point,28.33,-82.68,
Bayport,28.55,-82.65,
Bayshore Gardens,27.43,-82.58,
Beacon Square,28.21,-82.75,
Bear Creek,27.76,-82.73,
Bee Ridge,27.29,-82.47,
Bell town,29.76,-82.86,
Bellair-Meadowbrook Terrace,30.18,-81.74,
Belle Glade city,26.69,-80.67,
Belle Isle city,28.47,-81.35,
Belleair Beach city,27.92,-82.84,
Belleair Bluffs city,27.92,-82.82,
Belleair Shore town,27.92,-82.85,
Belleair town,27.94,-82.81,
Belleview city,29.06,-82.06,
Bellview,30.46,-87.31,
Berrydale,30.9,-87.04,
Beverly Beach town,29.52,-81.15,
Beverly Hills,28.92,-82.45,
Big Coppitt Key,24.59,-81.65,
Big Pine Key,24.69,-81.37,
Biscayne Park village,25.88,-80.18,
Bithlo,28.56,-81.11,
Black Diamond,28.91,-82.49,
Black Hammock,28.71,-81.18,
Bloomingdale,27.88,-82.26,
Blountstown city,30.44,-85.05,
Boca Raton city,26.37,-80.11,
Bokeelia,26.68,-82.14,
Bonifay city,30.78,-85.68,
Bonita Springs city,26.36,-81.79,
Boulevard Gardens,26.13,-80.18,
Bowling Green city,27.64,-81.82,
Boynton Beach city,26.53,-80.08,
Bradenton Beach city,27.47,-82.7,
Bradenton city,27.49,-82.57,
Bradley Junction,27.79,-81.98,
Brandon,27.94,-82.3,
Branford town,29.96,-82.93,
Brent,30.47,-87.25,
Brewster,27.76,-81.98,
Briny Breezes town,26.51,-80.05,
Bristol city,30.43,-84.98,
Broadview Park,26.1,-80.21,
Bronson town,29.45,-82.64,
Brooker town,29.89,-82.33,
Brookridge,28.55,-82.49,
Brooksville city,28.54,-82.39,
Brownsdale,30.89,-87.22,
Brownsville,25.82,-80.24,
Buckhead Ridge,27.13,-80.89,
Buckingham,26.66,-81.74,
Buenaventura Lakes,28.33,-81.35,
Bunnell city,29.42,-81.32,
Burnt Store Marina,26.76,-82.05,
Bushnell city,28.67,-82.12,
Butler Beach,29.8,-81.27,
Cabana Colony,26.86,-80.09,
Callahan town,30.56,-81.83,
Callaway city,30.14,-85.56,
Campbell,28.26,-81.45,
Campbellton town,30.95,-85.4,
Canal Point,26.86,-80.62,
Cape Canaveral city,28.39,-80.61,
Cape Coral city,26.64,-82,
Captiva,26.48,-82.21,
Carrabelle city,29.85,-84.67,
Carrollwood,28.06,-82.51,
Caryville town,30.78,-85.81,
Casselberry city,28.66,-81.32,
Cedar Grove,30.18,-85.63,
Cedar Key city,29.15,-83.04,
Celebration,28.31,-81.55,
Center Hill city,28.63,-82,
Century town,30.98,-87.26,
Charleston Park,26.71,-81.58,
Charlotte Harbor,26.96,-82.06,
Charlotte Park,26.9,-82.05,
Chattahoochee city,30.7,-84.83,
Cheval,28.15,-82.52,
Chiefland city,29.49,-82.87,
Chipley city,30.78,-85.54,
Chokoloskee,25.81,-81.36,
Christmas,28.52,-81,
Chuluota,28.64,-81.12,
Chumuckla,30.78,-87.23,
Cinco Bayou town,30.42,-86.61,
Citrus Hills,28.89,-82.43,
Citrus Park,28.07,-82.56,
Citrus Springs,28.99,-82.46,
Clarcona,28.62,-81.5,
Clearwater city,27.98,-82.77,
Clermont city,28.54,-81.73,
Cleveland,26.95,-81.99,
Clewiston city,26.75,-80.94,
Cloud Lake town,26.67,-80.07,
Cobbtown,30.88,-87.12,
Cocoa Beach city,28.33,-80.63,
Cocoa city,28.38,-80.77,
Cocoa West,28.36,-80.77,
Coconut Creek city,26.28,-80.18,
Coleman city,28.8,-82.07,
Combee Settlement,28.06,-81.91,
Connerton,28.3,-82.46,
Conway,28.5,-81.33,
Cooper City city,26.05,-80.29,
Coral Gables city,25.68,-80.25,
Coral Springs city,26.27,-80.26,
Coral Terrace,25.75,-80.3,
Cortez,27.47,-82.67,
Cottondale town,30.79,-85.36,
Country Club,25.94,-80.31,
Country Walk,25.63,-80.44,
Crawfordville,30.2,-84.36,
Crescent Beach,29.73,-81.24,
Crescent City city,29.44,-81.52,
Crestview city,30.75,-86.58,
Crooked Lake Park,27.83,-81.59,
Cross City town,29.64,-83.12,
Crystal Lake,28.04,-81.91,
Crystal River city,28.9,-82.6,
Crystal Springs,28.18,-82.15,
Cudjoe Key,24.67,-81.5,
Cutler Bay town,25.58,-80.34,
Cypress Gardens,28,-81.69,
Cypress Lake,26.54,-81.9,
